Date,State,StateAbbreviation,NumberOfFloods
2015-03-01,Illinois,IL,22
2015-04-01,Illinois,IL,22
2015-05-01,Illinois,IL,7
2015-06-01,Illinois,IL,189
2015-07-01,Illinois,IL,104
2015-08-01,Illinois,IL,8
2015-09-01,Illinois,IL,22
2015-10-01,Illinois,IL,0
2015-11-01,Illinois,IL,0
2015-12-01,Illinois,IL,28
2016-01-01,Illinois,IL,14
2016-02-01,Illinois,IL,7
2016-03-01,Illinois,IL,5
2016-04-01,Illinois,IL,0
2016-05-01,Illinois,IL,7
2016-06-01,Illinois,IL,5
2016-07-01,Illinois,IL,18
2016-08-01,Illinois,IL,52
2016-09-01,Illinois,IL,4
2016-10-01,Illinois,IL,3
2016-11-01,Illinois,IL,0
2016-12-01,Illinois,IL,1
2017-01-01,Illinois,IL,5
2017-02-01,Illinois,IL,4
2017-03-01,Illinois,IL,1
2017-04-01,Illinois,IL,89
2017-05-01,Illinois,IL,83
2017-06-01,Illinois,IL,23
2017-07-01,Illinois,IL,164
2017-08-01,Illinois,IL,1
2017-09-01,Illinois,IL,0
2017-10-01,Illinois,IL,13
2017-11-01,Illinois,IL,4
2017-12-01,Illinois,IL,0
2018-01-01,Illinois,IL,0
2018-02-01,Illinois,IL,72
2018-03-01,Illinois,IL,21
2018-04-01,Illinois,IL,13
2018-05-01,Illinois,IL,32
2018-06-01,Illinois,IL,67
2018-07-01,Illinois,IL,9
2018-08-01,Illinois,IL,7
2018-09-01,Illinois,IL,33
2018-10-01,Illinois,IL,0
2018-11-01,Illinois,IL,1
2018-12-01,Illinois,IL,8
2019-01-01,Illinois,IL,18
2019-02-01,Illinois,IL,36
2019-03-01,Illinois,IL,27
2019-04-01,Illinois,IL,32
2019-05-01,Illinois,IL,109
2019-06-01,Illinois,IL,60
2019-07-01,Illinois,IL,33
2019-08-01,Illinois,IL,16
2019-09-01,Illinois,IL,38
2019-10-01,Illinois,IL,21
2019-11-01,Illinois,IL,5
2019-12-01,Illinois,IL,5
2020-01-01,Illinois,IL,28
2020-02-01,Illinois,IL,11
2020-03-01,Illinois,IL,28
2020-04-01,Illinois,IL,28
2020-05-01,Illinois,IL,111
2020-06-01,Illinois,IL,46
2020-07-01,Illinois,IL,31
2020-08-01,Illinois,IL,18
2020-09-01,Illinois,IL,1
2020-10-01,Illinois,IL,10
2020-11-01,Illinois,IL,0
2020-12-01,Illinois,IL,0
2021-01-01,Illinois,IL,0
2021-02-01,Illinois,IL,0
2021-03-01,Illinois,IL,0
2021-04-01,Illinois,IL,0
2021-05-01,Illinois,IL,0
2021-06-01,Illinois,IL,0
2021-07-01,Illinois,IL,0
2021-08-01,Illinois,IL,0
2021-09-01,Illinois,IL,0
2021-10-01,Illinois,IL,0
2021-11-01,Illinois,IL,0
2021-12-01,Illinois,IL,0
2006-01-01,Indiana,IN,0
2006-02-01,Indiana,IN,0
2006-03-01,Indiana,IN,0
2006-04-01,Indiana,IN,0
2006-05-01,Indiana,IN,0
2006-06-01,Indiana,IN,0
2006-07-01,Indiana,IN,0
2006-08-01,Indiana,IN,0
2006-09-01,Indiana,IN,0
2006-10-01,Indiana,IN,1
2006-11-01,Indiana,IN,4
2006-12-01,Indiana,IN,32
2007-01-01,Indiana,IN,33
2007-02-01,Indiana,IN,14
2007-03-01,Indiana,IN,56
2007-04-01,Indiana,IN,25
2007-05-01,Indiana,IN,3
2007-06-01,Indiana,IN,5
2007-07-01,Indiana,IN,6
2007-08-01,Indiana,IN,7
2007-09-01,Indiana,IN,3
2007-10-01,Indiana,IN,0
2007-11-01,Indiana,IN,5
2007-12-01,Indiana,IN,22
2008-01-01,Indiana,IN,80
2008-02-01,Indiana,IN,88
2008-03-01,Indiana,IN,120
2008-04-01,Indiana,IN,55
2008-05-01,Indiana,IN,51
2008-06-01,Indiana,IN,128
2008-07-01,Indiana,IN,24
2008-08-01,Indiana,IN,3
2008-09-01,Indiana,IN,16
2008-10-01,Indiana,IN,0
2008-11-01,Indiana,IN,0
2008-12-01,Indiana,IN,19
2009-01-01,Indiana,IN,14
2009-02-01,Indiana,IN,48
2009-03-01,Indiana,IN,29
2009-04-01,Indiana,IN,44
2009-05-01,Indiana,IN,92
2009-06-01,Indiana,IN,29
2009-07-01,Indiana,IN,11
2009-08-01,Indiana,IN,34
2009-09-01,Indiana,IN,15
2009-10-01,Indiana,IN,12
2009-11-01,Indiana,IN,0
2009-12-01,Indiana,IN,0
2010-01-01,Indiana,IN,2
2010-02-01,Indiana,IN,2
2010-03-01,Indiana,IN,4
2010-04-01,Indiana,IN,2
2010-05-01,Indiana,IN,30
2010-06-01,Indiana,IN,45
2010-07-01,Indiana,IN,9
2010-08-01,Indiana,IN,3
2010-09-01,Indiana,IN,0
2010-10-01,Indiana,IN,0
2010-11-01,Indiana,IN,2
2010-12-01,Indiana,IN,2
2011-01-01,Indiana,IN,0
2011-02-01,Indiana,IN,10
2011-03-01,Indiana,IN,18
2011-04-01,Indiana,IN,55
2011-05-01,Indiana,IN,49
2011-06-01,Indiana,IN,29
2011-07-01,Indiana,IN,22
2011-08-01,Indiana,IN,2
2011-09-01,Indiana,IN,2
2011-10-01,Indiana,IN,0
2011-11-01,Indiana,IN,7
2011-12-01,Indiana,IN,18
2012-01-01,Indiana,IN,14
2012-02-01,Indiana,IN,6
2012-03-01,Indiana,IN,3
2012-04-01,Indiana,IN,2
2012-05-01,Indiana,IN,12
2012-06-01,Indiana,IN,0
2012-07-01,Indiana,IN,3
2012-08-01,Indiana,IN,3
2012-09-01,Indiana,IN,5
2012-10-01,Indiana,IN,0
2012-11-01,Indiana,IN,0
2012-12-01,Indiana,IN,0
2013-01-01,Indiana,IN,12
2013-02-01,Indiana,IN,2
2013-03-01,Indiana,IN,4
2013-04-01,Indiana,IN,36
2013-05-01,Indiana,IN,8
2013-06-01,Indiana,IN,40
2013-07-01,Indiana,IN,23
2013-08-01,Indiana,IN,5
2013-09-01,Indiana,IN,8
2013-10-01,Indiana,IN,0
2013-11-01,Indiana,IN,6
2013-12-01,Indiana,IN,78
2014-01-01,Indiana,IN,16
2014-02-01,Indiana,IN,10
2014-03-01,Indiana,IN,12
2014-04-01,Indiana,IN,75
2014-05-01,Indiana,IN,34
2014-06-01,Indiana,IN,38
2014-07-01,Indiana,IN,6
2014-08-01,Indiana,IN,32
2014-09-01,Indiana,IN,8
2014-10-01,Indiana,IN,0
2014-11-01,Indiana,IN,2
2014-12-01,Indiana,IN,4
2015-01-01,Indiana,IN,6
2015-02-01,Indiana,IN,0
2015-03-01,Indiana,IN,28
2015-04-01,Indiana,IN,76
2015-05-01,Indiana,IN,8
2015-06-01,Indiana,IN,113
2015-07-01,Indiana,IN,186
2015-08-01,Indiana,IN,0
2015-09-01,Indiana,IN,0
2015-10-01,Indiana,IN,0
2015-11-01,Indiana,IN,0
2015-12-01,Indiana,IN,24
2016-01-01,Indiana,IN,10
2016-02-01,Indiana,IN,9
2016-03-01,Indiana,IN,6
2016-04-01,Indiana,IN,0
2016-05-01,Indiana,IN,7
2016-06-01,Indiana,IN,13
2016-07-01,Indiana,IN,7
2016-08-01,Indiana,IN,34
2016-09-01,Indiana,IN,11
2016-10-01,Indiana,IN,3
2016-11-01,Indiana,IN,0
2016-12-01,Indiana,IN,0
2017-01-01,Indiana,IN,6
2017-02-01,Indiana,IN,1
2017-03-01,Indiana,IN,14
2017-04-01,Indiana,IN,35
2017-05-01,Indiana,IN,21
2017-06-01,Indiana,IN,17
2017-07-01,Indiana,IN,47
2017-08-01,Indiana,IN,1
2017-09-01,Indiana,IN,0
2017-10-01,Indiana,IN,8
2017-11-01,Indiana,IN,19
2017-12-01,Indiana,IN,0
2018-01-01,Indiana,IN,0
2018-02-01,Indiana,IN,124
2018-03-01,Indiana,IN,19
2018-04-01,Indiana,IN,34
2018-05-01,Indiana,IN,2
2018-06-01,Indiana,IN,33
2018-07-01,Indiana,IN,7
2018-08-01,Indiana,IN,1
2018-09-01,Indiana,IN,40
2018-10-01,Indiana,IN,0
2018-11-01,Indiana,IN,2
2018-12-01,Indiana,IN,5
2019-01-01,Indiana,IN,16
2019-02-01,Indiana,IN,58
2019-03-01,Indiana,IN,14
2019-04-01,Indiana,IN,10
2019-05-01,Indiana,IN,34
2019-06-01,Indiana,IN,70
2019-07-01,Indiana,IN,17
2019-08-01,Indiana,IN,0
2019-09-01,Indiana,IN,3
2019-10-01,Indiana,IN,5
2019-11-01,Indiana,IN,6
2019-12-01,Indiana,IN,5
2020-01-01,Indiana,IN,19
2020-02-01,Indiana,IN,10
2020-03-01,Indiana,IN,26
2020-04-01,Indiana,IN,10
2020-05-01,Indiana,IN,15
2020-06-01,Indiana,IN,13
2020-07-01,Indiana,IN,9
2020-08-01,Indiana,IN,13
2020-09-01,Indiana,IN,2
2020-10-01,Indiana,IN,8
2020-11-01,Indiana,IN,1
2020-12-01,Indiana,IN,0
2021-01-01,Indiana,IN,0
2021-02-01,Indiana,IN,0
2021-03-01,Indiana,IN,0
2021-04-01,Indiana,IN,0
2021-05-01,Indiana,IN,0
2021-06-01,Indiana,IN,0
2021-07-01,Indiana,IN,0
2021-08-01,Indiana,IN,0
2021-09-01,Indiana,IN,0
2021-10-01,Indiana,IN,0
2021-11-01,Indiana,IN,0
2021-12-01,Indiana,IN,0
2006-01-01,Kansas,KS,0
2006-02-01,Kansas,KS,0
2006-03-01,Kansas,KS,0
2006-04-01,Kansas,KS,0
2006-05-01,Kansas,KS,0
2006-06-01,Kansas,KS,0
2006-07-01,Kansas,KS,0
2006-08-01,Kansas,KS,0
2006-09-01,Kansas,KS,0
2006-10-01,Kansas,KS,0
2006-11-01,Kansas,KS,0
2006-12-01,Kansas,KS,0
2007-01-01,Kansas,KS,0
2007-02-01,Kansas,KS,8
2007-03-01,Kansas,KS,31
2007-04-01,Kansas,KS,10
2007-05-01,Kansas,KS,136
2007-06-01,Kansas,KS,100
2007-07-01,Kansas,KS,62
2007-08-01,Kansas,KS,23
2007-09-01,Kansas,KS,10
2007-10-01,Kansas,KS,10
2007-11-01,Kansas,KS,0
2007-12-01,Kansas,KS,1
2008-01-01,Kansas,KS,0
2008-02-01,Kansas,KS,0
2008-03-01,Kansas,KS,10
2008-04-01,Kansas,KS,7
2008-05-01,Kansas,KS,67
2008-06-01,Kansas,KS,62
2008-07-01,Kansas,KS,14
2008-08-01,Kansas,KS,17
2008-09-01,Kansas,KS,44
2008-10-01,Kansas,KS,6
2008-11-01,Kansas,KS,0
2008-12-01,Kansas,KS,0
2009-01-01,Kansas,KS,0
2009-02-01,Kansas,KS,0
2009-03-01,Kansas,KS,2
2009-04-01,Kansas,KS,33
2009-05-01,Kansas,KS,28
2009-06-01,Kansas,KS,31
2009-07-01,Kansas,KS,19
2009-08-01,Kansas,KS,22
2009-09-01,Kansas,KS,41
2009-10-01,Kansas,KS,6
2009-11-01,Kansas,KS,0
2009-12-01,Kansas,KS,0
2010-01-01,Kansas,KS,0
2010-02-01,Kansas,KS,0
2010-03-01,Kansas,KS,2
2010-04-01,Kansas,KS,19
2010-05-01,Kansas,KS,32
2010-06-01,Kansas,KS,75
2010-07-01,Kansas,KS,73
2010-08-01,Kansas,KS,2
2010-09-01,Kansas,KS,17
2010-10-01,Kansas,KS,0
2010-11-01,Kansas,KS,1
2010-12-01,Kansas,KS,0
2011-01-01,Kansas,KS,0
2011-02-01,Kansas,KS,1
2011-03-01,Kansas,KS,0
2011-04-01,Kansas,KS,5
2011-05-01,Kansas,KS,14
2011-06-01,Kansas,KS,37
2011-07-01,Kansas,KS,4
2011-08-01,Kansas,KS,4
2011-09-01,Kansas,KS,0
2011-10-01,Kansas,KS,6
2011-11-01,Kansas,KS,1
2011-12-01,Kansas,KS,0
2012-01-01,Kansas,KS,0
2012-02-01,Kansas,KS,0
2012-03-01,Kansas,KS,6
2012-04-01,Kansas,KS,10
2012-05-01,Kansas,KS,5
2012-06-01,Kansas,KS,1
2012-07-01,Kansas,KS,2
2012-08-01,Kansas,KS,1
2012-09-01,Kansas,KS,1
2012-10-01,Kansas,KS,0
2012-11-01,Kansas,KS,0
2012-12-01,Kansas,KS,0
2013-01-01,Kansas,KS,0
2013-02-01,Kansas,KS,0
2013-03-01,Kansas,KS,0
2013-04-01,Kansas,KS,1
2013-05-01,Kansas,KS,32
2013-06-01,Kansas,KS,16
2013-07-01,Kansas,KS,48
2013-08-01,Kansas,KS,89
2013-09-01,Kansas,KS,14
2013-10-01,Kansas,KS,8
2013-11-01,Kansas,KS,0
2013-12-01,Kansas,KS,0
2014-01-01,Kansas,KS,0
2014-02-01,Kansas,KS,0
2014-03-01,Kansas,KS,0
2014-04-01,Kansas,KS,12
2014-05-01,Kansas,KS,16
2014-06-01,Kansas,KS,98
2014-07-01,Kansas,KS,12
2014-08-01,Kansas,KS,20
2014-09-01,Kansas,KS,20
2014-10-01,Kansas,KS,16
2014-11-01,Kansas,KS,0
2014-12-01,Kansas,KS,0
2015-01-01,Kansas,KS,0
2015-02-01,Kansas,KS,0
2015-03-01,Kansas,KS,0
2015-04-01,Kansas,KS,2
2015-05-01,Kansas,KS,148
2015-06-01,Kansas,KS,104
2015-07-01,Kansas,KS,76
2015-08-01,Kansas,KS,24
2015-09-01,Kansas,KS,22
2015-10-01,Kansas,KS,0
2015-11-01,Kansas,KS,2
2015-12-01,Kansas,KS,9
2016-01-01,Kansas,KS,0
2016-02-01,Kansas,KS,0
2016-03-01,Kansas,KS,2
2016-04-01,Kansas,KS,0
2016-05-01,Kansas,KS,47
2016-06-01,Kansas,KS,5
2016-07-01,Kansas,KS,28
2016-08-01,Kansas,KS,25
2016-09-01,Kansas,KS,84
2016-10-01,Kansas,KS,13
2016-11-01,Kansas,KS,0
2016-12-01,Kansas,KS,0
2017-01-01,Kansas,KS,0
2017-02-01,Kansas,KS,0
2017-03-01,Kansas,KS,12
2017-04-01,Kansas,KS,19
2017-05-01,Kansas,KS,51
2017-06-01,Kansas,KS,10
2017-07-01,Kansas,KS,18
2017-08-01,Kansas,KS,26
2017-09-01,Kansas,KS,6
2017-10-01,Kansas,KS,13
2017-11-01,Kansas,KS,0
2017-12-01,Kansas,KS,0
2018-01-01,Kansas,KS,0
2018-02-01,Kansas,KS,0
2018-03-01,Kansas,KS,0
2018-04-01,Kansas,KS,0
2018-05-01,Kansas,KS,21
2018-06-01,Kansas,KS,14
2018-07-01,Kansas,KS,16
2018-08-01,Kansas,KS,20
2018-09-01,Kansas,KS,53
2018-10-01,Kansas,KS,0
2018-11-01,Kansas,KS,0
2018-12-01,Kansas,KS,0
2019-01-01,Kansas,KS,0
2019-02-01,Kansas,KS,1
2019-03-01,Kansas,KS,8
2019-04-01,Kansas,KS,18
2019-05-01,Kansas,KS,455
2019-06-01,Kansas,KS,55
2019-07-01,Kansas,KS,29
2019-08-01,Kansas,KS,101
2019-09-01,Kansas,KS,10
2019-10-01,Kansas,KS,1
2019-11-01,Kansas,KS,0
2019-12-01,Kansas,KS,0
2020-01-01,Kansas,KS,0
2020-02-01,Kansas,KS,0
2020-03-01,Kansas,KS,1
2020-04-01,Kansas,KS,1
2020-05-01,Kansas,KS,28
2020-06-01,Kansas,KS,7
2020-07-01,Kansas,KS,54
2020-08-01,Kansas,KS,2
2020-09-01,Kansas,KS,2
2020-10-01,Kansas,KS,0
2020-11-01,Kansas,KS,0
2020-12-01,Kansas,KS,0
2021-01-01,Kansas,KS,0
2021-02-01,Kansas,KS,0
2021-03-01,Kansas,KS,0
2021-04-01,Kansas,KS,0
2021-05-01,Kansas,KS,0
2021-06-01,Kansas,KS,0
2021-07-01,Kansas,KS,0
2021-08-01,Kansas,KS,0
2021-09-01,Kansas,KS,0
2021-10-01,Kansas,KS,0
2021-11-01,Kansas,KS,0
2021-12-01,Kansas,KS,0
2006-01-01,Kentucky,KY,0
2006-02-01,Kentucky,KY,0
2006-03-01,Kentucky,KY,0
2006-04-01,Kentucky,KY,0
2006-05-01,Kentucky,KY,0
2006-06-01,Kentucky,KY,0
2006-07-01,Kentucky,KY,0
2006-08-01,Kentucky,KY,0
2006-09-01,Kentucky,KY,0
2006-10-01,Kentucky,KY,2
2006-11-01,Kentucky,KY,1
2006-12-01,Kentucky,KY,0
2007-01-01,Kentucky,KY,12
2007-02-01,Kentucky,KY,0
2007-03-01,Kentucky,KY,2
2007-04-01,Kentucky,KY,28
2007-05-01,Kentucky,KY,8
2007-06-01,Kentucky,KY,8
2007-07-01,Kentucky,KY,3
2007-08-01,Kentucky,KY,4
2007-09-01,Kentucky,KY,0
2007-10-01,Kentucky,KY,0
2007-11-01,Kentucky,KY,0
2007-12-01,Kentucky,KY,44
2008-01-01,Kentucky,KY,17
2008-02-01,Kentucky,KY,21
2008-03-01,Kentucky,KY,77
2008-04-01,Kentucky,KY,92
2008-05-01,Kentucky,KY,7
2008-06-01,Kentucky,KY,13
2008-07-01,Kentucky,KY,5
2008-08-01,Kentucky,KY,1
2008-09-01,Kentucky,KY,0
2008-10-01,Kentucky,KY,0
2008-11-01,Kentucky,KY,0
2008-12-01,Kentucky,KY,4
2009-01-01,Kentucky,KY,11
2009-02-01,Kentucky,KY,3
2009-03-01,Kentucky,KY,0
2009-04-01,Kentucky,KY,5
2009-05-01,Kentucky,KY,105
2009-06-01,Kentucky,KY,66
2009-07-01,Kentucky,KY,14
2009-08-01,Kentucky,KY,44
2009-09-01,Kentucky,KY,26
2009-10-01,Kentucky,KY,9
2009-11-01,Kentucky,KY,1
2009-12-01,Kentucky,KY,9
2010-01-01,Kentucky,KY,19
2010-02-01,Kentucky,KY,7
2010-03-01,Kentucky,KY,2
2010-04-01,Kentucky,KY,2
2010-05-01,Kentucky,KY,222
2010-06-01,Kentucky,KY,19
2010-07-01,Kentucky,KY,51
2010-08-01,Kentucky,KY,27
2010-09-01,Kentucky,KY,6
2010-10-01,Kentucky,KY,0
2010-11-01,Kentucky,KY,19
2010-12-01,Kentucky,KY,0
2011-01-01,Kentucky,KY,0
2011-02-01,Kentucky,KY,38
2011-03-01,Kentucky,KY,21
2011-04-01,Kentucky,KY,146
2011-05-01,Kentucky,KY,72
2011-06-01,Kentucky,KY,50
2011-07-01,Kentucky,KY,32
2011-08-01,Kentucky,KY,1
2011-09-01,Kentucky,KY,6
2011-10-01,Kentucky,KY,0
2011-11-01,Kentucky,KY,5
2011-12-01,Kentucky,KY,38
2012-01-01,Kentucky,KY,6
2012-02-01,Kentucky,KY,8
2012-03-01,Kentucky,KY,23
2012-04-01,Kentucky,KY,9
2012-05-01,Kentucky,KY,9
2012-06-01,Kentucky,KY,0
2012-07-01,Kentucky,KY,23
2012-08-01,Kentucky,KY,26
2012-09-01,Kentucky,KY,5
2012-10-01,Kentucky,KY,0
2012-11-01,Kentucky,KY,0
2012-12-01,Kentucky,KY,0
2013-01-01,Kentucky,KY,23
2013-02-01,Kentucky,KY,1
2013-03-01,Kentucky,KY,34
2013-04-01,Kentucky,KY,30
2013-05-01,Kentucky,KY,8
2013-06-01,Kentucky,KY,22
2013-07-01,Kentucky,KY,63
2013-08-01,Kentucky,KY,66
2013-09-01,Kentucky,KY,14
2013-10-01,Kentucky,KY,20
2013-11-01,Kentucky,KY,0
2013-12-01,Kentucky,KY,108
2014-01-01,Kentucky,KY,2
2014-02-01,Kentucky,KY,15
2014-03-01,Kentucky,KY,6
2014-04-01,Kentucky,KY,100
2014-05-01,Kentucky,KY,20
2014-06-01,Kentucky,KY,44
2014-07-01,Kentucky,KY,26
2014-08-01,Kentucky,KY,94
2014-09-01,Kentucky,KY,42
2014-10-01,Kentucky,KY,5
2014-11-01,Kentucky,KY,0
2014-12-01,Kentucky,KY,0
2015-01-01,Kentucky,KY,0
2015-02-01,Kentucky,KY,30
2015-03-01,Kentucky,KY,223
2015-04-01,Kentucky,KY,341
2015-05-01,Kentucky,KY,6
2015-06-01,Kentucky,KY,26
2015-07-01,Kentucky,KY,256
2015-08-01,Kentucky,KY,20
2015-09-01,Kentucky,KY,0
2015-10-01,Kentucky,KY,0
2015-11-01,Kentucky,KY,0
2015-12-01,Kentucky,KY,58
2016-01-01,Kentucky,KY,9
2016-02-01,Kentucky,KY,12
2016-03-01,Kentucky,KY,12
2016-04-01,Kentucky,KY,0
2016-05-01,Kentucky,KY,40
2016-06-01,Kentucky,KY,22
2016-07-01,Kentucky,KY,85
2016-08-01,Kentucky,KY,35
2016-09-01,Kentucky,KY,2
2016-10-01,Kentucky,KY,2
2016-11-01,Kentucky,KY,0
2016-12-01,Kentucky,KY,4
2017-01-01,Kentucky,KY,2
2017-02-01,Kentucky,KY,1
2017-03-01,Kentucky,KY,12
2017-04-01,Kentucky,KY,22
2017-05-01,Kentucky,KY,32
2017-06-01,Kentucky,KY,45
2017-07-01,Kentucky,KY,18
2017-08-01,Kentucky,KY,4
2017-09-01,Kentucky,KY,13
2017-10-01,Kentucky,KY,6
2017-11-01,Kentucky,KY,0
2017-12-01,Kentucky,KY,5
2018-01-01,Kentucky,KY,0
2018-02-01,Kentucky,KY,407
2018-03-01,Kentucky,KY,24
2018-04-01,Kentucky,KY,14
2018-05-01,Kentucky,KY,49
2018-06-01,Kentucky,KY,40
2018-07-01,Kentucky,KY,17
2018-08-01,Kentucky,KY,25
2018-09-01,Kentucky,KY,97
2018-10-01,Kentucky,KY,0
2018-11-01,Kentucky,KY,17
2018-12-01,Kentucky,KY,10
2019-01-01,Kentucky,KY,10
2019-02-01,Kentucky,KY,115
2019-03-01,Kentucky,KY,29
2019-04-01,Kentucky,KY,4
2019-05-01,Kentucky,KY,5
2019-06-01,Kentucky,KY,45
2019-07-01,Kentucky,KY,42
2019-08-01,Kentucky,KY,7
2019-09-01,Kentucky,KY,0
2019-10-01,Kentucky,KY,1
2019-11-01,Kentucky,KY,23
2019-12-01,Kentucky,KY,49
2020-01-01,Kentucky,KY,11
2020-02-01,Kentucky,KY,46
2020-03-01,Kentucky,KY,24
2020-04-01,Kentucky,KY,7
2020-05-01,Kentucky,KY,73
2020-06-01,Kentucky,KY,79
2020-07-01,Kentucky,KY,31
2020-08-01,Kentucky,KY,20
2020-09-01,Kentucky,KY,39
2020-10-01,Kentucky,KY,2
2020-11-01,Kentucky,KY,0
2020-12-01,Kentucky,KY,0
2021-01-01,Kentucky,KY,0
2021-02-01,Kentucky,KY,0
2021-03-01,Kentucky,KY,0
2021-04-01,Kentucky,KY,0
2021-05-01,Kentucky,KY,0
2021-06-01,Kentucky,KY,0
2021-07-01,Kentucky,KY,0
2021-08-01,Kentucky,KY,0
2021-09-01,Kentucky,KY,0
2021-10-01,Kentucky,KY,0
2021-11-01,Kentucky,KY,0
2021-12-01,Kentucky,KY,0
2006-01-01,Louisiana,LA,0
2006-02-01,Louisiana,LA,0
2006-03-01,Louisiana,LA,0
2006-04-01,Louisiana,LA,0
2006-05-01,Louisiana,LA,0
2006-06-01,Louisiana,LA,0
2006-07-01,Louisiana,LA,0
2006-08-01,Louisiana,LA,0
2006-09-01,Louisiana,LA,0
2006-10-01,Louisiana,LA,50
2006-11-01,Louisiana,LA,0
2006-12-01,Louisiana,LA,10
2007-01-01,Louisiana,LA,0
2007-02-01,Louisiana,LA,1
2007-03-01,Louisiana,LA,0
2007-04-01,Louisiana,LA,0
2007-05-01,Louisiana,LA,1
2007-06-01,Louisiana,LA,7
2007-07-01,Louisiana,LA,21
2007-08-01,Louisiana,LA,0
2007-09-01,Louisiana,LA,1
2007-10-01,Louisiana,LA,6
2007-11-01,Louisiana,LA,0
2007-12-01,Louisiana,LA,0
2008-01-01,Louisiana,LA,0
2008-02-01,Louisiana,LA,5
2008-03-01,Louisiana,LA,1
2008-04-01,Louisiana,LA,2
2008-05-01,Louisiana,LA,17
2008-06-01,Louisiana,LA,6
2008-07-01,Louisiana,LA,1
2008-08-01,Louisiana,LA,12
2008-09-01,Louisiana,LA,32
2008-10-01,Louisiana,LA,0
2008-11-01,Louisiana,LA,0
2008-12-01,Louisiana,LA,3
2009-01-01,Louisiana,LA,3
2009-02-01,Louisiana,LA,0
2009-03-01,Louisiana,LA,9
2009-04-01,Louisiana,LA,4
2009-05-01,Louisiana,LA,21
2009-06-01,Louisiana,LA,0
2009-07-01,Louisiana,LA,18
2009-08-01,Louisiana,LA,6
2009-09-01,Louisiana,LA,9
2009-10-01,Louisiana,LA,92
2009-11-01,Louisiana,LA,14
2009-12-01,Louisiana,LA,33
2010-01-01,Louisiana,LA,2
2010-02-01,Louisiana,LA,0
2010-03-01,Louisiana,LA,0
2010-04-01,Louisiana,LA,2
2010-05-01,Louisiana,LA,4
2010-06-01,Louisiana,LA,8
2010-07-01,Louisiana,LA,9
2010-08-01,Louisiana,LA,17
2010-09-01,Louisiana,LA,0
2010-10-01,Louisiana,LA,1
2010-11-01,Louisiana,LA,2
2010-12-01,Louisiana,LA,0
2011-01-01,Louisiana,LA,0
2011-02-01,Louisiana,LA,0
2011-03-01,Louisiana,LA,25
2011-04-01,Louisiana,LA,12
2011-05-01,Louisiana,LA,5
2011-06-01,Louisiana,LA,4
2011-07-01,Louisiana,LA,9
2011-08-01,Louisiana,LA,0
2011-09-01,Louisiana,LA,4
2011-10-01,Louisiana,LA,0
2011-11-01,Louisiana,LA,0
2011-12-01,Louisiana,LA,1
2012-01-01,Louisiana,LA,2
2012-02-01,Louisiana,LA,11
2012-03-01,Louisiana,LA,71
2012-04-01,Louisiana,LA,4
2012-05-01,Louisiana,LA,3
2012-06-01,Louisiana,LA,4
2012-07-01,Louisiana,LA,9
2012-08-01,Louisiana,LA,11
2012-09-01,Louisiana,LA,0
2012-10-01,Louisiana,LA,0
2012-11-01,Louisiana,LA,0
2012-12-01,Louisiana,LA,1
2013-01-01,Louisiana,LA,37
2013-02-01,Louisiana,LA,0
2013-03-01,Louisiana,LA,0
2013-04-01,Louisiana,LA,2
2013-05-01,Louisiana,LA,4
2013-06-01,Louisiana,LA,13
2013-07-01,Louisiana,LA,1
2013-08-01,Louisiana,LA,1
2013-09-01,Louisiana,LA,8
2013-10-01,Louisiana,LA,20
2013-11-01,Louisiana,LA,6
2013-12-01,Louisiana,LA,0
2014-01-01,Louisiana,LA,0
2014-02-01,Louisiana,LA,1
2014-03-01,Louisiana,LA,4
2014-04-01,Louisiana,LA,48
2014-05-01,Louisiana,LA,35
2014-06-01,Louisiana,LA,10
2014-07-01,Louisiana,LA,14
2014-08-01,Louisiana,LA,6
2014-09-01,Louisiana,LA,6
2014-10-01,Louisiana,LA,2
2014-11-01,Louisiana,LA,0
2014-12-01,Louisiana,LA,0
2015-01-01,Louisiana,LA,0
2015-02-01,Louisiana,LA,0
2015-03-01,Louisiana,LA,18
2015-04-01,Louisiana,LA,30
2015-05-01,Louisiana,LA,84
2015-06-01,Louisiana,LA,162
2015-07-01,Louisiana,LA,8
2015-08-01,Louisiana,LA,2
2015-09-01,Louisiana,LA,2
2015-10-01,Louisiana,LA,18
2015-11-01,Louisiana,LA,6
2015-12-01,Louisiana,LA,3
2016-01-01,Louisiana,LA,0
2016-02-01,Louisiana,LA,2
2016-03-01,Louisiana,LA,66
2016-04-01,Louisiana,LA,0
2016-05-01,Louisiana,LA,8
2016-06-01,Louisiana,LA,5
2016-07-01,Louisiana,LA,12
2016-08-01,Louisiana,LA,48
2016-09-01,Louisiana,LA,3
2016-10-01,Louisiana,LA,0
2016-11-01,Louisiana,LA,0
2016-12-01,Louisiana,LA,1
2017-01-01,Louisiana,LA,1
2017-02-01,Louisiana,LA,0
2017-03-01,Louisiana,LA,4
2017-04-01,Louisiana,LA,47
2017-05-01,Louisiana,LA,9
2017-06-01,Louisiana,LA,11
2017-07-01,Louisiana,LA,2
2017-08-01,Louisiana,LA,66
2017-09-01,Louisiana,LA,1
2017-10-01,Louisiana,LA,10
2017-11-01,Louisiana,LA,1
2017-12-01,Louisiana,LA,0
